mouse_ensembl_gene,chromosome,strand,start,end,coding_start,coding_end,KO_intervals,mouse_symbol
ENSMUSG00000001552,chr11,-,100370619,100397749,100372313,100386380,"[[100372313, 100397749]]",Jup
ENSMUSG00000001555,chr11,+,100415697,100424824,100415784,100424070,"[[100415697, 100424070]]",Fkbp10
ENSMUSG00000001558,chr11,+,100441917,100457022,100442031,100456943,"[[100441917, 100456943]]",Klhl10
ENSMUSG00000001566,chr5,-,29473034,29478470,29473872,29478275,"[[29473872, 29478470]]",Mnx1
ENSMUSG00000001569,chr5,+,29434664,29457843,29434678,29451200,"[[29434664, 29451200]]",Nom1
ENSMUSG00000001576,chr17,+,26561489,26656931,26561613,26655171,"[[26561489, 26655171]]",Ergic1
ENSMUSG00000001583,chr11,-,69851005,69858730,69851605,69857074,"[[69851605, 69858730]]",Tnk1
ENSMUSG00000001588,chr11,-,69881567,69895539,69881628,69895338,"[[69881628, 69895539]]",Acap1
ENSMUSG00000001604,chr4,+,136247952,136274898,136248049,136274785,"[[136247952, 136274785]]",Tcea3
ENSMUSG00000001622,chr5,+,87925579,87932665,87927577,87930179,"[[87925579, 87930179]]",Csn3
ENSMUSG00000001627,chr12,-,40201567,40248504,40203365,40222956,"[[40203365, 40248504]]",Ifrd1
ENSMUSG00000001630,chr6,+,146724995,146778812,146758472,146775718,"[[146724995, 146775718]]",Stk38l
ENSMUSG00000001632,chr6,+,113307137,113324860,113309813,113324163,"[[113307137, 113324163]]",Brpf1
ENSMUSG00000001642,chr6,-,34303934,34317478,34304300,34317405,"[[34304300, 34317478]]",Akr1b3
ENSMUSG00000001655,chr15,+,102921103,102928814,102921188,102927422,"[[102921103, 102927422]]",Hoxc13
ENSMUSG00000001656,chr15,+,102954427,102957708,102954526,102956698,"[[102954427, 102956698]]",Hoxc11
ENSMUSG00000001657,chr15,+,102990607,102993821,102990780,102992852,"[[102990607, 102992852]]",Hoxc8
ENSMUSG00000001661,chr15,+,103009573,103011881,103009606,103011038,"[[103009573, 103011038]]",Hoxc6
ENSMUSG00000001666,chr10,-,75771230,75773414,75771437,75773323,"[[75771437, 75773414]]",Ddt
ENSMUSG00000001670,chr8,+,109990437,109999803,109991485,109998886,"[[109990437, 109998886]]",Tat
ENSMUSG00000001672,chr8,-,109947914,109962203,109948028,109962107,"[[109948028, 109962203]]",Marveld3
ENSMUSG00000001674,chr1,-,121553835,121567989,121553999,121567875,"[[121553999, 121567989]]",Ddx18
ENSMUSG00000001687,chr5,-,148504635,148552789,148506138,148551979,"[[148506138, 148552789]]",Ubl3
ENSMUSG00000001700,chr18,+,56400337,56503792,56400454,56502626,"[[56400337, 56502626]]",Gramd3
ENSMUSG00000001707,chr13,-,38644207,38659058,38646173,38658993,"[[38646173, 38659058]]",Eef1e1
ENSMUSG00000001729,chr12,-,112653821,112674884,112654701,112671561,"[[112654701, 112674884]]",Akt1
ENSMUSG00000001739,chr5,+,136966616,136975858,136968107,136974913,"[[136966616, 136974913]]",Cldn15
ENSMUSG00000001741,chr7,-,83642825,83739937,83643892,83722596,"[[83643892, 83739937]]",Il16
ENSMUSG00000001750,chr19,-,3896050,3907133,3896117,3904701,"[[3896117, 3907133]]",Tcirg1
ENSMUSG00000001751,chr11,+,101070012,101077672,101070125,101077442,"[[101070012, 101077442]]",Naglu
ENSMUSG00000001755,chr11,+,101082565,101086619,101083010,101086307,"[[101082565, 101086307]]",Coasy
ENSMUSG00000001761,chr6,+,29735694,29761365,29736011,29760282,"[[29735694, 29760282]]",Smo
ENSMUSG00000001763,chr6,+,29694222,29718559,29694443,29717635,"[[29694222, 29717635]]",Tspan33
ENSMUSG00000001767,chr2,-,145917479,145935014,145918427,145934604,"[[145918427, 145935014]]",Crnkl1
ENSMUSG00000001768,chr2,+,145784734,145887616,145786358,145885920,"[[145784734, 145885920]]",Rin2
ENSMUSG00000001773,chr7,-,86718977,86775943,86719662,86775759,"[[86719662, 86775943]]",Folh1
ENSMUSG00000001774,chr9,+,18292125,18317442,18292397,18312918,"[[18292125, 18312918]]",Chordc1
ENSMUSG00000001783,chr10,-,85938637,85957823,85939015,85957707,"[[85939015, 85957823]]",Rtcb
ENSMUSG00000001785,chr10,+,85829494,85889096,85871943,85888139,"[[85829494, 85888139]]",Pwp1
ENSMUSG00000001786,chr10,+,86021972,86051873,86022023,86048105,"[[86021972, 86048105]]",Fbxo7
ENSMUSG00000001794,chr7,-,30186942,30198811,30187510,30194086,"[[30187510, 30198811]]",Capns1
ENSMUSG00000001802,chr7,-,35200878,35215498,35202085,35214928,"[[35202085, 35215498]]",Lrp3
ENSMUSG00000001804,chr18,+,20436175,20471821,20436309,20471600,"[[20436175, 20471600]]",Dsg4
ENSMUSG00000001815,chr2,-,74652991,74659557,74655619,74659419,"[[74655619, 74659557]]",Evx2
ENSMUSG00000001819,chr2,+,74668310,74671599,74668310,74670133,"[[74668310, 74670133]]",Hoxd13
ENSMUSG00000001823,chr2,+,74675013,74677705,74675087,74676049,"[[74675013, 74676049]]",Hoxd12
ENSMUSG00000001827,chr7,-,101858331,101870788,101858467,101864086,"[[101858467, 101870788]]",Folr1
ENSMUSG00000001829,chr7,+,101663633,101795506,101663811,101793419,"[[101663633, 101793419]]",Clpb
ENSMUSG00000001833,chr9,+,25252439,25308571,25252639,25307549,"[[25252439, 25307549]]",Sept7
ENSMUSG00000001844,chr5,-,143316489,143329256,143316545,143326215,"[[143316545, 143329256]]",Zdhhc4
ENSMUSG00000001847,chr5,-,143503634,143528036,143506978,143527797,"[[143506978, 143528036]]",Rac1
ENSMUSG00000001855,chr2,+,31974436,32053975,31974564,32052342,"[[31974436, 32052342]]",Nup214
ENSMUSG00000001864,chr2,+,31950139,31973442,31950351,31970987,"[[31950139, 31970987]]",Aif1l
ENSMUSG00000001865,chr3,-,20215620,20242181,20215808,20242171,"[[20215808, 20242181]]",Cpa3
ENSMUSG00000001870,chr17,+,75005568,75391767,75005886,75390550,"[[75005568, 75390550]]",Ltbp1
ENSMUSG00000001891,chr11,-,21321138,21371201,21322025,21370205,"[[21322025, 21371201]]",Ugp2
ENSMUSG00000001901,chr11,+,106008124,106034549,106008203,106034061,"[[106008124, 106034061]]",Kcnh6
ENSMUSG00000001909,chr8,+,84686339,84699808,84689315,84699761,"[[84686339, 84699761]]",Trmt1
ENSMUSG00000001910,chr8,-,84670479,84687902,84673045,84677244,"[[84673045, 84687902]]",Nacc1
ENSMUSG00000001911,chr8,-,84704712,84800344,84708666,84800024,"[[84708666, 84800344]]",Nfix
ENSMUSG00000001918,chr7,+,16781340,16798274,16781901,16797736,"[[16781340, 16797736]]",Slc1a5
ENSMUSG00000001924,chrX,+,20658326,20683179,20668449,20682510,"[[20658326, 20682510]]",Uba1
ENSMUSG00000001930,chr6,+,125546774,125686679,125546976,125686536,"[[125546774, 125686536]]",Vwf
ENSMUSG00000001942,chr9,+,37555698,37649655,37613860,37646521,"[[37555698, 37646521]]",Siae
ENSMUSG00000001943,chr9,+,37539255,37544205,37539375,37544139,"[[37539255, 37544139]]",Vsig2
ENSMUSG00000001946,chr9,+,37528078,37538319,37528221,37537779,"[[37528078, 37537779]]",Esam
ENSMUSG00000001948,chr9,-,37603290,37613722,37603343,37611989,"[[37603343, 37613722]]",Spa17
ENSMUSG00000001962,chrX,+,74313033,74320149,74313215,74319965,"[[74313033, 74319965]]",Fam50a
ENSMUSG00000001964,chrX,+,74254687,74261548,74254952,74260889,"[[74254687, 74260889]]",Emd
ENSMUSG00000001983,chr11,+,106066061,106073612,106066248,106073298,"[[106066061, 106073298]]",Taco1
ENSMUSG00000001985,chr4,+,125490700,125714173,125490831,125708088,"[[125490700, 125708088]]",Grik3
ENSMUSG00000001986,chrX,+,41401128,41678601,41401565,41672461,"[[41401128, 41672461]]",Gria3
ENSMUSG00000001988,chr7,-,16455721,16476780,16455838,16475628,"[[16455838, 16476780]]",Npas1
ENSMUSG00000001995,chr8,-,125418063,125569808,125419148,125492596,"[[125419148, 125569808]]",Sipa1l2
ENSMUSG00000001998,chr2,+,127008724,127067909,127008754,127066699,"[[127008724, 127066699]]",Ap4e1
ENSMUSG00000001999,chr2,+,127070667,127097084,127080647,127096990,"[[127070667, 127096990]]",Blvra
ENSMUSG00000002006,chrX,-,73793359,73824969,73794385,73824341,"[[73794385, 73824969]]",Pdzd4
ENSMUSG00000002007,chrX,+,73774405,73778925,73774451,73778685,"[[73774405, 73778685]]",Srpk3
ENSMUSG00000002010,chrX,-,73778963,73786897,73779073,73786855,"[[73779073, 73786897]]",Idh3g
ENSMUSG00000002012,chrX,-,73655994,73660117,73656680,73659247,"[[73656680, 73660117]]",Pnck
ENSMUSG00000002014,chrX,+,73787028,73790826,73787240,73790755,"[[73787028, 73790755]]",Ssr4
ENSMUSG00000002015,chrX,-,73686178,73716175,73686560,73714884,"[[73686560, 73716175]]",Bcap31
ENSMUSG00000002017,chr17,-,75537086,75551946,75538205,75551793,"[[75538205, 75551946]]",Fam98a
ENSMUSG00000002020,chr12,-,84783212,84876532,84784253,84876291,"[[84784253, 84876532]]",Ltbp2
ENSMUSG00000002028,chr9,-,44803355,44881296,44807905,44881274,"[[44807905, 44881296]]",Kmt2a
ENSMUSG00000002031,chr9,+,44772910,44793447,44773153,44790577,"[[44772910, 44790577]]",Ift46
ENSMUSG00000002032,chr9,-,44793775,44799307,44794978,44798733,"[[44794978, 44799307]]",Tmem25
ENSMUSG00000002033,chr9,-,44969572,44980431,44970711,44980320,"[[44970711, 44980431]]",Cd3g
ENSMUSG00000002043,chr7,+,19508712,19516145,19508749,19516062,"[[19508712, 19516062]]",Trappc6a
ENSMUSG00000002052,chr11,-,78206746,78245987,78207586,78233653,"[[78207586, 78245987]]",Supt6
ENSMUSG00000002055,chr11,+,78301529,78322457,78301660,78322196,"[[78301529, 78322196]]",Spag5
ENSMUSG00000002057,chr11,-,78357577,78386558,78358754,78371938,"[[78358754, 78386558]]",Foxn1
ENSMUSG00000002058,chr11,+,78343482,78349164,78343567,78348640,"[[78343482, 78348640]]",Unc119
ENSMUSG00000002059,chr11,+,78188430,78192193,78188440,78191838,"[[78188430, 78191838]]",Rab34
ENSMUSG00000002064,chr11,+,78245746,78255496,78245996,78255135,"[[78245746, 78255135]]",Sdf2
ENSMUSG00000002068,chr7,-,38097984,38107534,38098518,38106800,"[[38098518, 38107534]]",Ccne1
ENSMUSG00000002076,chr17,-,31944769,32036349,31946606,32034492,"[[31946606, 32036349]]",Hsf2bp
ENSMUSG00000002083,chr7,+,16308393,16318205,16312141,16317231,"[[16308393, 16317231]]",Bbc3
ENSMUSG00000002100,chr2,+,91118144,91136516,91118169,91136111,"[[91118144, 91136111]]",Mybpc3
ENSMUSG00000002102,chr2,+,91054009,91066369,91054248,91066096,"[[91054009, 91066096]]",Psmc3
ENSMUSG00000002103,chr2,+,91202885,91214098,91202935,91210770,"[[91202885, 91210770]]",Acp2
ENSMUSG00000002104,chr2,+,91035620,91045729,91035797,91045515,"[[91035620, 91045515]]",Rapsn
ENSMUSG00000002105,chr2,-,91061791,91070417,91062906,91069653,"[[91062906, 91070417]]",Slc39a13
ENSMUSG00000002107,chr2,-,6539694,7396198,6547089,7081159,"[[6547089, 7396198]]",Celf2
ENSMUSG00000002108,chr2,-,91184061,91195151,91184339,91193659,"[[91184339, 91195151]]",Nr1h3
ENSMUSG00000002109,chr2,-,91211603,91236982,91211951,91236816,"[[91211951, 91236982]]",Ddb2
ENSMUSG00000002111,chr2,+,91082390,91115756,91082504,91115391,"[[91082390, 91115391]]",Spi1
ENSMUSG00000002129,chr11,+,4160350,4182541,4160488,4180132,"[[4160350, 4180132]]",Sf3a1
ENSMUSG00000002147,chr10,+,127642986,127660957,127646912,127659978,"[[127642986, 127659978]]",Stat6
ENSMUSG00000002190,chr8,+,83389867,83428552,83395452,83426603,"[[83389867, 83426603]]",Clgn
ENSMUSG00000002204,chr7,+,44572380,44586862,44572616,44586795,"[[44572380, 44586795]]",Napsa
ENSMUSG00000002205,chr7,+,44748413,44777515,44753817,44775521,"[[44748413, 44775521]]",Vrk3
ENSMUSG00000002210,chr7,+,24399619,24422778,24403398,24422375,"[[24399619, 24422375]]",Smg9
ENSMUSG00000002221,chr5,-,27740080,27791550,27742491,27791279,"[[27742491, 27791550]]",Paxip1
ENSMUSG00000002222,chr6,-,71388634,71440637,71393128,71440139,"[[71393128, 71440637]]",Rmnd5a
ENSMUSG00000002227,chr3,-,104794836,104818563,104795152,104818526,"[[104795152, 104818563]]",Mov10
ENSMUSG00000002228,chr3,+,104781056,104786018,104781087,104785849,"[[104781056, 104785849]]",Ppm1j
ENSMUSG00000002233,chr3,+,104788375,104794459,104791897,104794040,"[[104788375, 104794040]]",Rhoc
ENSMUSG00000002240,chr5,+,87825686,87846387,87835683,87846324,"[[87825686, 87846324]]",Prr27
ENSMUSG00000002249,chr17,-,28331671,28350817,28332723,28350595,"[[28332723, 28350817]]",Tead3
ENSMUSG00000002250,chr17,+,28232700,28301474,28286341,28299846,"[[28232700, 28299846]]",Ppard
ENSMUSG00000002257,chr17,+,28207778,28228608,28207843,28228286,"[[28207778, 28228286]]",Def6
ENSMUSG00000002265,chr7,-,6703892,6730421,6707509,6718624,"[[6707509, 6730421]]",Peg3
ENSMUSG00000002274,chr17,-,25793221,25797136,25794978,25796962,"[[25794978, 25797136]]",Metrn
ENSMUSG00000002279,chr17,+,25579085,25662826,25579187,25662700,"[[25579085, 25662700]]",Lmf1
ENSMUSG00000002280,chr17,+,25773776,25783332,25773822,25782251,"[[25773776, 25782251]]",Ciao3
ENSMUSG00000002289,chr17,-,33773750,33781830,33775390,33781392,"[[33775390, 33781830]]",Angptl4
ENSMUSG00000002297,chr5,-,8396973,8422716,8397220,8422512,"[[8397220, 8422716]]",Dbf4
ENSMUSG00000002307,chr17,+,33909414,33915590,33910447,33915399,"[[33909414, 33915399]]",Daxx
ENSMUSG00000002308,chr17,+,33843091,33849774,33843171,33848425,"[[33843091, 33848425]]",Cd320
ENSMUSG00000002319,chr14,-,55625400,55635684,55625914,55635598,"[[55625914, 55635684]]",Ipo4
ENSMUSG00000002320,chr14,-,55635965,55643806,55636222,55642938,"[[55636222, 55643806]]",Tm9sf1
ENSMUSG00000002324,chr14,+,55618037,55625395,55618603,55625358,"[[55618037, 55625358]]",Rec8
ENSMUSG00000002325,chr14,+,55603571,55610030,55604133,55609028,"[[55603571, 55609028]]",Irf9
ENSMUSG00000002326,chr14,+,55672235,55679200,55672715,55678410,"[[55672235, 55678410]]",Gmpr2
ENSMUSG00000002329,chr14,-,55657879,55660508,55658986,55660374,"[[55658986, 55660508]]",Mdp1
ENSMUSG00000002332,chr14,-,55739020,55745690,55739287,55745067,"[[55739287, 55745690]]",Dhrs1
ENSMUSG00000002341,chr8,-,70093085,70120873,70096323,70116661,"[[70096323, 70120873]]",Ncan
ENSMUSG00000002342,chr8,+,70172405,70183681,70172438,70182136,"[[70172405, 70182136]]",Tmem161a
ENSMUSG00000002343,chr8,-,70220172,70234466,70220668,70231400,"[[70220668, 70234466]]",Armc6
ENSMUSG00000002345,chr8,+,70139499,70147319,70139736,70145844,"[[70139499, 70145844]]",Borcs8
ENSMUSG00000002346,chr8,-,70184340,70212305,70186472,70194204,"[[70186472, 70212305]]",Slc25a42
ENSMUSG00000002365,chr17,+,5841329,5931954,5841535,5930614,"[[5841329, 5930614]]",Snx9
ENSMUSG00000002372,chr17,+,56673358,56711764,56673390,56710896,"[[56673358, 56710896]]",Ranbp3
ENSMUSG00000002379,chr17,+,56717767,56722141,56717840,56722094,"[[56717767, 56722094]]",Ndufa11
ENSMUSG00000002393,chr8,-,71374127,71381960,71374486,71381271,"[[71374486, 71381960]]",Nr2f6
ENSMUSG00000002395,chr8,+,71366848,71369732,71367037,71369706,"[[71366848, 71369706]]",Use1
ENSMUSG00000002396,chr8,+,71371298,71379361,71371675,71374825,"[[71371298, 71374825]]",Ocel1
ENSMUSG00000002409,chr7,+,28179469,28187294,28180348,28186920,"[[28179469, 28186920]]",Dyrk1b
ENSMUSG00000002413,chr6,-,39603237,39725463,39610385,39725295,"[[39610385, 39725463]]",Braf
ENSMUSG00000002416,chr6,+,39592574,39603382,39592615,39598337,"[[39592574, 39598337]]",Ndufb2
ENSMUSG00000002428,chr3,+,20057811,20118490,20057988,20116721,"[[20057811, 20116721]]",Hltf
ENSMUSG00000002455,chr2,+,181591868,181655660,181601461,181655571,"[[181591868, 181655571]]",Prpf6
ENSMUSG00000002458,chr2,-,181688419,181693977,181688692,181691725,"[[181688692, 181693977]]",Rgs19
ENSMUSG00000002459,chr1,-,4909576,5070285,4910477,5070177,"[[4910477, 5070285]]",Rgs20
ENSMUSG00000002475,chr18,-,10642092,10706771,10642244,10706691,"[[10642244, 10706771]]",Abhd3
ENSMUSG00000002477,chr18,+,10617775,10640068,10617913,10639736,"[[10617775, 10639736]]",Snrpd1
ENSMUSG00000002486,chr5,+,114707760,114722327,114708654,114721137,"[[114707760, 114721137]]",Tchp
ENSMUSG00000002489,chr16,-,89787111,90143769,89787161,89898567,"[[89787161, 90143769]]",Tiam1
ENSMUSG00000002496,chr17,-,24595816,24632630,24596608,24632082,"[[24596608, 24632630]]",Tsc2
ENSMUSG00000002500,chr17,+,24727820,24736143,24727884,24736053,"[[24727820, 24736053]]",Rpl3l
ENSMUSG00000002504,chr17,-,24639286,24650327,24640234,24650150,"[[24640234, 24650327]]",Slc9a3r2
ENSMUSG00000002524,chr15,-,76070182,76080913,76070331,76080873,"[[76070331, 76080913]]",Puf60
ENSMUSG00000002546,chr2,+,32287384,32307921,32288081,32306617,"[[32287384, 32306617]]",Golga2
ENSMUSG00000002550,chr2,-,32255002,32260159,32256033,32260034,"[[32256033, 32260159]]",Uck1
ENSMUSG00000002565,chr12,-,40059769,40134228,40060503,40134108,"[[40060503, 40134228]]",Scin
ENSMUSG00000002578,chr10,-,128630843,128669358,128632551,128651291,"[[128632551, 128669358]]",Ikzf4
ENSMUSG00000002580,chr11,-,98437708,98438991,98438065,98438946,"[[98438065, 98438991]]",Mien1
ENSMUSG00000002588,chr6,-,5168090,5193946,5168341,5193749,"[[5168341, 5193946]]",Pon1
ENSMUSG00000002602,chr7,-,25757273,25788705,25758665,25788478,"[[25758665, 25788705]]",Axl
ENSMUSG00000002603,chr7,+,25687002,25705077,25687869,25704939,"[[25687002, 25704939]]",Tgfb1
ENSMUSG00000002608,chr7,-,25711106,25719088,25712996,25718966,"[[25712996, 25719088]]",Ccdc97
ENSMUSG00000002625,chr17,-,32321424,32350607,32321495,32350499,"[[32321495, 32350607]]",Akap8l
ENSMUSG00000002633,chr5,-,28456815,28467256,28457858,28466763,"[[28457858, 28467256]]",Shh
ENSMUSG00000002635,chr7,-,34184499,34196661,34184684,34196643,"[[34184684, 34196661]]",Pdcd2l
ENSMUSG00000002658,chr17,-,57003405,57011288,57003430,57011120,"[[57003430, 57011288]]",Gtf2f1
ENSMUSG00000002660,chr17,+,56990305,56996188,56990328,56996044,"[[56990305, 56996044]]",Clpp
ENSMUSG00000002661,chr17,+,56997339,56999322,56997364,56999089,"[[56997339, 56999089]]",Alkbh7
ENSMUSG00000002664,chr17,-,56999457,57000018,56999460,57000015,"[[56999460, 57000018]]",Pspn
ENSMUSG00000002668,chr17,-,57066055,57078510,57066114,57078406,"[[57066114, 57078510]]",Dennd1c
ENSMUSG00000002679,chr12,-,81573557,81595006,81573833,81594961,"[[81573833, 81595006]]",Med6
ENSMUSG00000002688,chr12,-,50341231,50649098,50342005,50648973,"[[50342005, 50649098]]",Prkd1
ENSMUSG00000002699,chr11,+,34046920,34092295,34047354,34090684,"[[34046920, 34090684]]",Lcp2
ENSMUSG00000002718,chr2,+,166906059,166946389,166915180,166945790,"[[166906059, 166945790]]",Cse1l
ENSMUSG00000002728,chr2,+,145902099,145916425,145903310,145915886,"[[145902099, 145915886]]",Naa20
ENSMUSG00000002731,chr2,-,76629898,76648015,76630414,76647856,"[[76630414, 76648015]]",Prkra
ENSMUSG00000002732,chr2,-,76663044,76673070,76663194,76673014,"[[76663194, 76673070]]",Fkbp7
ENSMUSG00000002733,chr2,+,76675281,76696828,76675595,76695499,"[[76675281, 76695499]]",Plekha3
ENSMUSG00000002741,chr11,+,5955693,5967780,5955901,5966041,"[[5955693, 5966041]]",Ykt6
ENSMUSG00000002748,chr5,+,135187264,135246129,135187650,135244460,"[[135187264, 135244460]]",Baz1b
ENSMUSG00000002763,chr17,+,46711463,46725541,46711500,46725321,"[[46711463, 46725321]]",Pex6
ENSMUSG00000002767,chr17,+,46646229,46650139,46646303,46650093,"[[46646229, 46650093]]",Mrpl2
ENSMUSG00000002768,chr17,+,46678793,46683111,46681628,46682867,"[[46678793, 46682867]]",Mea1
ENSMUSG00000002769,chr17,-,46725664,46729168,46725803,46729151,"[[46725803, 46729168]]",Gnmt
ENSMUSG00000002771,chr7,-,45831883,45878378,45832783,45866567,"[[45832783, 45878378]]",Grin2d
ENSMUSG00000002778,chr7,+,45872772,45883732,45873011,45883008,"[[45872772, 45883008]]",Kdelr1
ENSMUSG00000002781,chr7,+,45896941,45917413,45897079,45916628,"[[45896941, 45916628]]",Tmem143
ENSMUSG00000002797,chr6,-,54982580,54992950,54985861,54992835,"[[54985861, 54992950]]",Ggct
ENSMUSG00000002799,chr12,-,112907819,112929776,112908892,112929484,"[[112908892, 112929776]]",Jag2
ENSMUSG00000002803,chr12,+,112976482,112978945,112976606,112978533,"[[112976482, 112978533]]",Btbd6
ENSMUSG00000002804,chr12,-,112934291,112942124,112934813,112942071,"[[112934813, 112942124]]",Nudt14
ENSMUSG00000002808,chr13,-,19591706,19619927,19593155,19619562,"[[19593155, 19619927]]",Epdr1
ENSMUSG00000002812,chr11,-,60714143,60727263,60714316,60727189,"[[60714316, 60727263]]",Flii
ENSMUSG00000002814,chr11,-,60740058,60777365,60740526,60777101,"[[60740526, 60777365]]",Top3a
ENSMUSG00000002820,chr9,+,21265293,21277772,21265483,21273433,"[[21265293, 21273433]]",Atg4d
ENSMUSG00000002825,chr9,+,21411837,21420274,21411855,21420185,"[[21411837, 21420185]]",Qtrt1
ENSMUSG00000002831,chr17,-,56100591,56109803,56102010,56109588,"[[56102010, 56109803]]",Plin4
ENSMUSG00000002833,chr17,+,56079634,56100598,56079755,56100450,"[[56079634, 56100450]]",Hdgfl2
ENSMUSG00000002835,chr17,+,56040439,56070276,56040512,56068783,"[[56040439, 56068783]]",Chaf1a
ENSMUSG00000002844,chr16,-,38444030,38452703,38445693,38450441,"[[38445693, 38452703]]",Adprh
ENSMUSG00000002845,chr16,+,38558698,38592162,38564189,38591424,"[[38558698, 38591424]]",Tmem39a
ENSMUSG00000002846,chr16,-,38498347,38522663,38498936,38522534,"[[38498936, 38522663]]",Timmdc1
ENSMUSG00000002847,chr16,-,38396117,38433145,38396454,38432876,"[[38396454, 38433145]]",Pla1a
ENSMUSG00000002870,chr6,-,88883474,88898780,88884003,88898650,"[[88884003, 88898780]]",Mcm2
ENSMUSG00000002871,chr6,+,88902251,88912231,88907957,88911944,"[[88902251, 88911944]]",Tpra1
ENSMUSG00000002881,chr1,-,52457294,52500679,52459221,52490736,"[[52459221, 52500679]]",Nab1
